"CASE_ID","Placement","Housing","BasicNeeds","FSC","PlacementAsY","CloseTimes","Duration"
48753,FALSE,TRUE,TRUE,TRUE,FALSE,2,183
48756,FALSE,TRUE,TRUE,TRUE,TRUE,3,397
48776,FALSE,FALSE,TRUE,FALSE,FALSE,2,29
48782,FALSE,FALSE,TRUE,FALSE,FALSE,2,61
48805,FALSE,TRUE,TRUE,TRUE,FALSE,3,276
48810,FALSE,FALSE,FALSE,FALSE,FALSE,3,123
48817,FALSE,TRUE,TRUE,FALSE,FALSE,2,153
48820,FALSE,FALSE,TRUE,TRUE,FALSE,2,122
48828,TRUE,TRUE,TRUE,TRUE,FALSE,3,184
48851,TRUE,FALSE,TRUE,FALSE,FALSE,4,62
48879,FALSE,FALSE,TRUE,FALSE,FALSE,2,275
48947,TRUE,TRUE,TRUE,FALSE,FALSE,2,184
49016,FALSE,FALSE,TRUE,FALSE,FALSE,2,92
49055,FALSE,FALSE,TRUE,FALSE,FALSE,3,152
49081,FALSE,FALSE,TRUE,TRUE,FALSE,2,184
49086,FALSE,FALSE,TRUE,FALSE,TRUE,2,397
49188,FALSE,TRUE,TRUE,TRUE,TRUE,3,92
49410,TRUE,TRUE,TRUE,FALSE,TRUE,2,397
49447,TRUE,TRUE,TRUE,TRUE,FALSE,4,122
49456,FALSE,FALSE,TRUE,TRUE,FALSE,2,123
49551,FALSE,FALSE,TRUE,FALSE,FALSE,2,62
49562,FALSE,FALSE,TRUE,FALSE,FALSE,2,62
49568,FALSE,TRUE,TRUE,TRUE,TRUE,4,123
49584,TRUE,TRUE,TRUE,FALSE,FALSE,3,31
49634,FALSE,FALSE,TRUE,FALSE,FALSE,2,62
49662,FALSE,FALSE,TRUE,FALSE,FALSE,3,60
49678,TRUE,TRUE,TRUE,FALSE,FALSE,2,153
49680,FALSE,FALSE,TRUE,TRUE,FALSE,2,306
49689,FALSE,TRUE,TRUE,FALSE,FALSE,2,30
49740,TRUE,FALSE,TRUE,FALSE,FALSE,2,122
49870,FALSE,FALSE,TRUE,FALSE,FALSE,4,121
49946,TRUE,TRUE,TRUE,TRUE,TRUE,2,31
50096,FALSE,FALSE,TRUE,TRUE,FALSE,2,31
50199,TRUE,TRUE,TRUE,FALSE,FALSE,3,62
50263,FALSE,TRUE,TRUE,TRUE,FALSE,2,275
50545,FALSE,FALSE,TRUE,FALSE,FALSE,3,275
50644,TRUE,TRUE,TRUE,TRUE,TRUE,2,123
50647,TRUE,FALSE,TRUE,FALSE,FALSE,3,153
50662,FALSE,FALSE,TRUE,FALSE,FALSE,3,276
50805,FALSE,TRUE,TRUE,TRUE,FALSE,2,123
50813,FALSE,TRUE,TRUE,TRUE,FALSE,5,183
50815,TRUE,TRUE,TRUE,FALSE,TRUE,3,337
50867,FALSE,TRUE,TRUE,FALSE,TRUE,3,153
50874,TRUE,TRUE,TRUE,FALSE,TRUE,2,215
50942,FALSE,FALSE,FALSE,FALSE,FALSE,2,184
50985,TRUE,TRUE,TRUE,TRUE,FALSE,2,61
