"CASE_ID","Placement","Housing","BasicNeeds","FSC","CASE_ID","TypeCounts","PlacementAsY","CloseTimes","Duration"
34889,FALSE,FALSE,TRUE,FALSE,34889,1,FALSE,2,153
34896,FALSE,FALSE,TRUE,TRUE,34896,4,FALSE,3,276
34902,FALSE,TRUE,TRUE,FALSE,34902,3,TRUE,4,92
34933,TRUE,TRUE,TRUE,FALSE,34933,4,FALSE,3,276
34938,FALSE,FALSE,FALSE,FALSE,34938,0,FALSE,2,30
35045,FALSE,FALSE,TRUE,TRUE,35045,2,FALSE,2,276
35070,FALSE,TRUE,TRUE,FALSE,35070,4,FALSE,2,60
35095,FALSE,FALSE,TRUE,TRUE,35095,4,FALSE,2,62
35137,FALSE,TRUE,FALSE,FALSE,35137,1,TRUE,2,306
35211,TRUE,TRUE,TRUE,FALSE,35211,4,FALSE,3,31
35279,FALSE,FALSE,TRUE,TRUE,35279,5,FALSE,3,122
35292,TRUE,FALSE,TRUE,TRUE,35292,4,FALSE,2,123
35343,TRUE,TRUE,TRUE,TRUE,35343,6,FALSE,4,92
35460,FALSE,FALSE,TRUE,FALSE,35460,3,FALSE,3,306
35475,TRUE,TRUE,TRUE,TRUE,35475,6,FALSE,3,92
35485,FALSE,TRUE,TRUE,FALSE,35485,3,FALSE,3,0
35486,TRUE,TRUE,TRUE,FALSE,35486,3,TRUE,3,306
35495,FALSE,TRUE,TRUE,TRUE,35495,5,FALSE,4,0
36008,FALSE,TRUE,TRUE,FALSE,36008,3,TRUE,3,31
36714,FALSE,FALSE,TRUE,FALSE,36714,1,FALSE,2,62
37967,TRUE,TRUE,TRUE,TRUE,37967,6,TRUE,4,397
38507,FALSE,FALSE,TRUE,FALSE,38507,2,FALSE,2,397
39033,TRUE,TRUE,FALSE,FALSE,39033,1,FALSE,2,153
39138,TRUE,TRUE,TRUE,FALSE,39138,2,FALSE,2,184
39146,TRUE,FALSE,TRUE,FALSE,39146,3,FALSE,2,184
39179,FALSE,FALSE,TRUE,FALSE,39179,2,FALSE,3,245
39962,TRUE,TRUE,TRUE,TRUE,39962,4,FALSE,2,184
40541,FALSE,FALSE,FALSE,FALSE,40541,0,TRUE,2,215
40747,FALSE,TRUE,TRUE,TRUE,40747,4,FALSE,1,397
41622,FALSE,TRUE,TRUE,TRUE,41622,5,TRUE,2,62
41785,FALSE,TRUE,TRUE,FALSE,41785,2,FALSE,3,92
42009,FALSE,TRUE,TRUE,TRUE,42009,5,FALSE,1,397
42049,TRUE,TRUE,TRUE,FALSE,42049,4,FALSE,2,0
42175,FALSE,FALSE,TRUE,TRUE,42175,4,TRUE,2,184
43069,FALSE,TRUE,TRUE,TRUE,43069,6,FALSE,3,123
43283,FALSE,FALSE,FALSE,FALSE,43283,0,FALSE,2,276
47057,FALSE,FALSE,TRUE,FALSE,47057,2,FALSE,2,62
47089,FALSE,TRUE,TRUE,FALSE,47089,3,FALSE,2,153
47106,FALSE,FALSE,TRUE,FALSE,47106,1,FALSE,2,61
47149,FALSE,TRUE,FALSE,FALSE,47149,1,TRUE,3,397
47157,FALSE,FALSE,TRUE,TRUE,47157,2,TRUE,4,306
47220,TRUE,FALSE,TRUE,FALSE,47220,2,FALSE,3,276
47253,FALSE,FALSE,TRUE,FALSE,47253,3,FALSE,2,123
47271,TRUE,FALSE,FALSE,FALSE,47271,0,FALSE,3,31
47289,FALSE,FALSE,TRUE,FALSE,47289,3,FALSE,3,92
47530,FALSE,TRUE,FALSE,TRUE,47530,4,TRUE,2,153
47536,FALSE,FALSE,TRUE,FALSE,47536,1,TRUE,2,92
47572,FALSE,TRUE,TRUE,FALSE,47572,4,FALSE,3,92
47573,FALSE,FALSE,TRUE,TRUE,47573,2,FALSE,4,0
47590,TRUE,TRUE,TRUE,FALSE,47590,4,TRUE,2,92
47592,FALSE,TRUE,TRUE,TRUE,47592,4,FALSE,3,123
47653,FALSE,TRUE,TRUE,FALSE,47653,2,FALSE,3,397
47655,TRUE,FALSE,TRUE,TRUE,47655,2,TRUE,3,30
47678,FALSE,TRUE,TRUE,TRUE,47678,4,TRUE,3,337
47740,FALSE,FALSE,TRUE,FALSE,47740,1,TRUE,2,184
47767,TRUE,TRUE,TRUE,TRUE,47767,7,TRUE,2,92
47775,TRUE,FALSE,TRUE,FALSE,47775,2,TRUE,3,153
47804,TRUE,TRUE,TRUE,FALSE,47804,3,FALSE,2,123
47829,FALSE,FALSE,TRUE,FALSE,47829,2,FALSE,2,31
48227,TRUE,TRUE,TRUE,TRUE,48227,6,TRUE,5,184
48241,FALSE,TRUE,TRUE,TRUE,48241,5,FALSE,2,92
48256,FALSE,FALSE,FALSE,FALSE,48256,0,FALSE,2,0
48289,TRUE,TRUE,TRUE,TRUE,48289,4,TRUE,2,153
48296,FALSE,TRUE,TRUE,FALSE,48296,4,TRUE,2,276
48337,TRUE,FALSE,TRUE,FALSE,48337,1,FALSE,2,153
48361,TRUE,TRUE,TRUE,FALSE,48361,3,FALSE,3,122
48366,FALSE,FALSE,TRUE,FALSE,48366,1,FALSE,2,31
48398,FALSE,FALSE,TRUE,FALSE,48398,2,FALSE,2,337
48433,FALSE,TRUE,TRUE,TRUE,48433,6,FALSE,3,123
48475,FALSE,FALSE,TRUE,FALSE,48475,3,TRUE,3,153
48488,FALSE,TRUE,TRUE,TRUE,48488,4,FALSE,2,337
48526,FALSE,TRUE,TRUE,TRUE,48526,4,FALSE,3,245
48532,FALSE,TRUE,TRUE,FALSE,48532,2,TRUE,3,153
48539,FALSE,FALSE,TRUE,FALSE,48539,1,FALSE,2,337
48555,TRUE,FALSE,TRUE,FALSE,48555,2,FALSE,3,92
48565,FALSE,TRUE,TRUE,FALSE,48565,2,FALSE,2,61
48613,FALSE,FALSE,TRUE,TRUE,48613,4,FALSE,2,31
48665,FALSE,TRUE,TRUE,FALSE,48665,2,FALSE,2,62
48717,FALSE,FALSE,TRUE,FALSE,48717,2,FALSE,4,215
48721,FALSE,TRUE,TRUE,TRUE,48721,4,FALSE,4,90
48753,FALSE,TRUE,TRUE,TRUE,48753,7,FALSE,2,183
48756,FALSE,TRUE,TRUE,TRUE,48756,5,TRUE,3,397
48776,FALSE,FALSE,TRUE,FALSE,48776,1,FALSE,2,29
48782,FALSE,FALSE,TRUE,FALSE,48782,2,FALSE,2,61
48805,FALSE,TRUE,TRUE,TRUE,48805,5,FALSE,3,276
48810,FALSE,FALSE,FALSE,FALSE,48810,0,FALSE,3,123
48817,FALSE,TRUE,TRUE,FALSE,48817,3,FALSE,2,153
48820,FALSE,FALSE,TRUE,TRUE,48820,2,FALSE,2,122
48828,TRUE,TRUE,TRUE,TRUE,48828,4,FALSE,3,184
48851,TRUE,FALSE,TRUE,FALSE,48851,2,FALSE,4,62
48879,FALSE,FALSE,TRUE,FALSE,48879,1,FALSE,2,275
48947,TRUE,TRUE,TRUE,FALSE,48947,5,FALSE,2,184
49016,FALSE,FALSE,TRUE,FALSE,49016,3,FALSE,2,92
49055,FALSE,FALSE,TRUE,FALSE,49055,1,FALSE,3,152
49081,FALSE,FALSE,TRUE,TRUE,49081,2,FALSE,2,184
49086,FALSE,FALSE,TRUE,FALSE,49086,2,TRUE,2,397
49188,FALSE,TRUE,TRUE,TRUE,49188,3,TRUE,3,92
49410,TRUE,TRUE,TRUE,FALSE,49410,5,TRUE,2,397
49447,TRUE,TRUE,TRUE,TRUE,49447,4,FALSE,4,122
49456,FALSE,FALSE,TRUE,TRUE,49456,3,FALSE,2,123
49551,FALSE,FALSE,TRUE,FALSE,49551,3,FALSE,2,62
49562,FALSE,FALSE,TRUE,FALSE,49562,1,FALSE,2,62
49568,FALSE,TRUE,TRUE,TRUE,49568,5,TRUE,4,123
49584,TRUE,TRUE,TRUE,FALSE,49584,5,FALSE,3,31
49634,FALSE,FALSE,TRUE,FALSE,49634,2,FALSE,2,62
49662,FALSE,FALSE,TRUE,FALSE,49662,3,FALSE,3,60
49678,TRUE,TRUE,TRUE,FALSE,49678,6,FALSE,2,153
49680,FALSE,FALSE,TRUE,TRUE,49680,3,FALSE,2,306
49689,FALSE,TRUE,TRUE,FALSE,49689,2,FALSE,2,30
49740,TRUE,FALSE,TRUE,FALSE,49740,3,FALSE,2,122
49870,FALSE,FALSE,TRUE,FALSE,49870,2,FALSE,4,121
49946,TRUE,TRUE,TRUE,TRUE,49946,3,TRUE,2,31
50096,FALSE,FALSE,TRUE,TRUE,50096,3,FALSE,2,31
50199,TRUE,TRUE,TRUE,FALSE,50199,4,FALSE,3,62
50263,FALSE,TRUE,TRUE,TRUE,50263,3,FALSE,2,275
